tweet_id,favorites,retweets
876537666061221889,23512,4678
876484053909872640,18825,2436
876120275196170240,28020,4768
875747767867523072,25283,4362
875144289856114688,21998,5003
875097192612077568,27518,6142
875021211251597312,25573,4792
874680097055178752,27962,4721
874434818259525634,0,15045
874296783580663808,26165,4189
874057562936811520,22753,4026
874012996292530176,34860,10657
873580283840344065,24376,4024
873337748698140672,0,1619
873213775632977920,7304,1619
872967104147763200,27543,5508
872820683541237760,14800,3771
872668790621863937,0,28
872620804844003328,20915,3782
872486979161796608,40961,9195
872261713294495745,34479,6468
872122724285648897,34691,8305
871879754684805121,38335,11480
871762521631449091,20424,3559
871515927908634625,20382,3535
871166179821445120,0,5822
871102520638267392,21098,5613
871032628920680449,22859,3895
870804317367881728,33971,6378
870726314365509632,120,3
870656317836468226,12562,2716
870374049280663552,83539,26935
870308999962521604,22052,4265
870063196459192321,37087,8593
869772420881756160,42905,10341
869702957897576449,28585,6513
869596645499047938,16184,3224
869227993411051520,20702,3908
868880397819494401,66537,14969
868639477480148993,0,2166
868622495443632128,27624,5954
868552278524837888,10326,2166
867900495410671616,24540,4319
867774946302451713,34522,7577
867421006826221569,16426,2605
867072653475098625,0,131
867051520902168576,32795,8164
866720684873056260,20461,5012
866686824827068416,19707,3621
866450705531457537,124491,36576
866334964761202691,53648,15045
866094527597207552,0,8687
865718153858494464,26117,5826
865359393868664832,27026,5207
865006731092295680,28569,7987
864873206498414592,33004,9096
864279568663928832,14935,3175
864197398364647424,30857,9351
863907417377173506,21083,4317
863553081350529029,15633,4348
863471782782697472,0,2587
863432100342583297,24350,5514
863427515083354112,2314,101
863079547188785154,8953,1151
863062471531167744,8750,2587
862831371563274240,19645,5307
862722525377298433,17489,3699
862457590147678208,21068,5196
862096992088072192,76555,24403
861383897657036800,37016,11211
861288531465048066,17655,4372
861005113778896900,17173,3994
860981674716409858,0,2260
860924035999428608,0,854
860563773140209665,7715,2260
860524505164394496,24248,5535
860276583193509888,18800,3642
860184849394610176,17159,6134
860177593139703809,0,32431
859924526012018688,20098,4300
859851578198683649,15828,3670
859607811541651456,19123,1654
859196978902773760,92721,31816
859074603037188101,34931,14309
858860390427611136,0,8557
858843525470990336,16018,3656
858471635011153920,22176,5094
858107933456039936,16224,3064
857989990357356544,16627,2723
857746408056729600,35354,11195
857393404942143489,6114,1720
857263160327368704,20649,4778
857214891891077121,238,20
857062103051644929,0,179
857029823797047296,19559,4231
856602993587888130,0,11312
856543823941562368,16842,3049
856526610513747968,12225,1992
856330835276025856,0,717
856288084350160898,535,17
856282028240666624,28621,6684
855862651834028034,361,28
855860136149123072,5120,1099
855857698524602368,12255,2246
855851453814013952,47061,18729
855818117272018944,27555,5777
855459453768019968,31084,8743
855245323840757760,0,6356
855138241867124737,0,49
854732716440526848,23740,6504
854482394044301312,30526,7349
854365224396361728,19668,5012
854120357044912130,33265,8003
854010172552949760,16867,3356
853760880890318849,29838,6210
853639147608842240,36461,10883
853299958564483072,16223,3820
852936405516943360,0,2171
852912242202992640,9459,1977
852672615818899456,15622,2307
